tag,x,y,direction
blue,-40.0,0.0,0
blue,-38.0,-2.0,0
blue,-35.0,-3.0,0
blue,-34.0,-4.0,0
blue,-32.0,-4.0,0
blue,-31.0,-5.0,0
blue,-30.0,-5.0,0
blue,-29.0,-6.0,0
blue,-29.0,-7.0,0
blue,-28.0,-8.0,0
blue,-25.0,-11.0,0
blue,-22.0,-12.0,0
blue,-19.0,-12.0,0
blue,-16.0,-12.0,0
blue,-14.0,-12.0,0
blue,-13.0,-12.0,0
blue,-12.0,-13.0,0
blue,-11.0,-15.0,0
blue,-9.0,-18.0,0
blue,-7.0,-20.0,0
blue,-5.0,-22.0,0
blue,-2.0,-25.0,0
blue,0.0,-28.0,0
blue,3.0,-30.0,0
blue,5.0,-32.0,0
blue,7.0,-33.0,0
blue,7.0,-35.0,0
blue,9.0,-36.0,0
blue,11.0,-36.0,0
blue,13.0,-36.0,0
blue,15.0,-36.0,0
blue,17.0,-36.0,0
blue,19.0,-34.0,0
blue,20.0,-32.0,0
blue,23.0,-33.0,0
blue,24.0,-34.0,0
blue,25.0,-37.0,0
blue,28.0,-39.0,0
blue,31.0,-40.0,0
blue,34.0,-40.0,0
blue,38.0,-40.0,0
blue,42.0,-39.0,0
blue,45.0,-36.0,0
blue,47.0,-33.0,0
blue,49.0,-30.0,0
blue,51.0,-27.0,0
blue,53.0,-23.0,0
blue,51.0,-21.0,0
blue,52.0,-18.0,0
blue,52.0,-16.0,0
blue,54.0,-14.0,0
blue,55.0,-11.0,0
blue,55.0,-9.0,0
blue,53.0,-6.0,0
blue,51.0,-5.0,0
blue,49.0,-2.0,0
blue,48.0,-1.0,0
blue,47.0,2.0,0
blue,47.0,4.0,0
blue,46.0,8.0,0
blue,44.0,12.0,0
blue,41.0,16.0,0
blue,38.0,19.0,0
blue,36.0,20.0,0
blue,32.0,22.0,0
blue,29.0,24.0,0
blue,25.0,26.0,0
blue,21.0,28.0,0
blue,17.0,30.0,0
blue,14.0,32.0,0
blue,10.0,34.0,0
blue,7.0,36.0,0
blue,2.0,38.0,0
blue,-3.0,37.0,0
blue,-8.0,34.0,0
blue,-12.0,33.0,0
blue,-14.0,32.0,0
blue,-18.0,33.0,0
blue,-21.0,33.0,0
blue,-24.0,34.0,0
blue,-25.0,34.0,0
blue,-29.0,33.0,0
blue,-34.0,33.0,0
blue,-37.0,32.0,0
blue,-38.0,30.0,0
blue,-39.0,27.0,0
blue,-39.0,24.0,0
blue,-40.0,21.0,0
blue,-40.0,18.0,0
blue,-40.0,14.0,0
blue,-40.0,11.0,0
blue,-40.0,8.0,0
blue,-40.0,6.0,0
blue,-40.0,3.0,0
blue,-40.0,0.0,0
yellow,-36.0,4.0,0
yellow,-35.0,4.0,0
yellow,-35.0,3.0,0
yellow,-33.0,3.0,0
yellow,-32.0,3.0,0
yellow,-29.0,1.0,0
yellow,-27.0,-1.0,0
yellow,-26.0,-1.0,0
yellow,-25.0,-2.0,0
yellow,-24.0,-4.0,0
yellow,-23.0,-5.0,0
yellow,-22.0,-5.0,0
yellow,-19.0,-5.0,0
yellow,-16.0,-5.0,0
yellow,-14.0,-5.0,0
yellow,-11.0,-5.0,0
yellow,-8.0,-7.0,0
yellow,-7.0,-9.0,0
yellow,-5.0,-12.0,0
yellow,-2.0,-15.0,0
yellow,-1.0,-17.0,0
yellow,1.0,-19.0,0
yellow,4.0,-22.0,0
yellow,6.0,-25.0,0
yellow,7.0,-26.0,0
yellow,8.0,-28.0,0
yellow,9.0,-30.0,0
yellow,10.0,-30.0,0
yellow,12.0,-31.0,0
yellow,14.0,-30.0,0
yellow,16.0,-29.0,0
yellow,18.0,-27.0,0
yellow,21.0,-26.0,0
yellow,24.0,-27.0,0
yellow,26.0,-29.0,0
yellow,27.0,-31.0,0
yellow,29.0,-34.0,0
yellow,32.0,-35.0,0
yellow,34.0,-35.0,0
yellow,36.0,-35.0,0
yellow,38.0,-35.0,0
yellow,41.0,-32.0,0
yellow,43.0,-30.0,0
yellow,45.0,-27.0,0
yellow,46.0,-25.0,0
yellow,47.0,-24.0,0
yellow,46.0,-20.0,0
yellow,46.0,-16.0,0
yellow,47.0,-14.0,0
yellow,48.0,-12.0,0
yellow,49.0,-11.0,0
yellow,49.0,-10.0,0
yellow,47.0,-8.0,0
yellow,44.0,-5.0,0
yellow,42.0,-3.0,0
yellow,41.0,0.0,0
yellow,41.0,4.0,0
yellow,41.0,6.0,0
yellow,39.0,9.0,0
yellow,36.0,12.0,0
yellow,34.0,14.0,0
yellow,33.0,15.0,0
yellow,29.0,17.0,0
yellow,26.0,19.0,0
yellow,22.0,21.0,0
yellow,18.0,22.0,0
yellow,15.0,24.0,0
yellow,11.0,27.0,0
yellow,7.0,29.0,0
yellow,5.0,30.0,0
yellow,1.0,32.0,0
yellow,-1.0,31.0,0
yellow,-6.0,29.0,0
